i,t,n,b,D
2,1,3,12,0.0
2,1,4,1,0.0
2,1,4,2,0.0
2,1,4,3,0.0
2,1,4,4,0.0
2,1,4,5,0.0
2,1,4,6,0.0
2,1,4,7,0.0
2,1,4,8,0.0
2,1,4,9,0.0
2,1,4,10,0.0
2,1,4,11,0.0
2,1,4,12,0.0
2,2,1,1,0.0
2,2,1,2,0.0
2,2,1,3,0.0
2,2,1,4,0.0
2,2,1,5,0.0
2,2,1,6,0.0
2,2,1,7,0.0
2,2,1,8,0.0
2,2,1,9,0.0
2,2,1,10,0.0
2,2,1,11,0.0
2,2,1,12,0.0
2,2,2,1,0.0
2,2,2,2,0.0
2,2,2,3,0.0
2,2,2,4,0.0
2,2,2,5,0.0
2,2,2,6,0.0
2,2,2,7,0.0
2,2,2,8,0.0
2,2,2,9,0.0
2,2,2,10,0.0
2,2,2,11,0.0
2,2,2,12,0.0
2,2,3,1,0.0
2,2,3,2,0.0
2,2,3,3,0.0
2,2,3,4,0.0
2,2,3,5,0.0
2,2,3,6,0.0
2,2,3,7,0.0
2,2,3,8,0.0
2,2,3,9,0.0
2,2,3,10,0.0
2,2,3,11,0.0
2,2,3,12,0.0
2,2,4,1,0.0
2,2,4,2,0.0
2,2,4,3,0.0
2,2,4,4,0.0
2,2,4,5,0.0
2,2,4,6,0.0
2,2,4,7,0.0
2,2,4,8,0.0
2,2,4,9,0.0
2,2,4,10,0.0
2,2,4,11,0.0
2,2,4,12,0.0
2,3,1,1,0.0
2,3,1,2,0.0
2,3,1,3,0.0
2,3,1,4,0.0
2,3,1,5,0.0
2,3,1,6,0.0
2,3,1,7,0.0
2,3,1,8,0.0
2,3,1,9,0.0
2,3,1,10,0.0
2,3,1,11,0.0
2,3,1,12,0.0
2,3,2,1,0.0
2,3,2,2,0.0
2,3,2,3,0.0
2,3,2,4,0.0
2,3,2,5,0.0
2,3,2,6,0.0
2,3,2,7,0.0
2,3,2,8,0.0
2,3,2,9,0.0
2,3,2,10,0.0
2,3,2,11,0.0
2,3,2,12,0.0
2,3,3,1,0.0
2,3,3,2,0.0
2,3,3,3,0.0
2,3,3,4,0.0
2,3,3,5,0.0
2,3,3,6,0.0
2,3,3,7,0.0
2,3,3,8,0.0
2,3,3,9,0.0
2,3,3,10,0.0
2,3,3,11,0.0
2,3,3,12,0.0
2,3,4,1,0.0
2,3,4,2,0.0
2,3,4,3,0.0
2,3,4,4,0.0
2,3,4,5,0.0
2,3,4,6,0.0
2,3,4,7,0.0
2,3,4,8,0.0
2,3,4,9,0.0
2,3,4,10,0.0
2,3,4,11,0.0
2,3,4,12,0.0
2,4,1,1,0.0
2,4,1,2,0.0
2,4,1,3,0.0
2,4,1,4,0.0
2,4,1,5,0.0
2,4,1,6,0.0
2,4,1,7,0.0
2,4,1,8,0.0
2,4,1,9,0.0
2,4,1,10,0.0
2,4,1,11,0.0
2,4,1,12,0.0
2,4,2,1,0.0
2,4,2,2,0.0
2,4,2,3,0.0
2,4,2,4,0.0
2,4,2,5,0.0
2,4,2,6,0.0
2,4,2,7,0.0
2,4,2,8,0.0
2,4,2,9,0.0
2,4,2,10,0.0
2,4,2,11,0.0
2,4,2,12,0.0
2,4,3,1,0.0
2,4,3,2,0.0
2,4,3,3,0.0
2,4,3,4,0.0
2,4,3,5,0.0
2,4,3,6,0.0
2,4,3,7,0.0
2,4,3,8,0.0
2,4,3,9,0.0
2,4,3,10,0.0
2,4,3,11,0.0
2,4,3,12,0.0
2,4,4,1,0.0
2,4,4,2,0.0
2,4,4,3,0.0
2,4,4,4,0.0
2,4,4,5,0.0
2,4,4,6,0.0
2,4,4,7,0.0
2,4,4,8,0.0
2,4,4,9,0.0
2,4,4,10,0.0
2,4,4,11,0.0
2,4,4,12,0.0
2,5,1,1,0.0
2,5,1,2,0.0
2,5,1,3,0.0
2,5,1,4,0.0
2,5,1,5,0.0
2,5,1,6,0.0
2,5,1,7,0.0
2,5,1,8,0.0
2,5,1,9,0.0
2,5,1,10,0.0
2,5,1,11,0.0
2,5,1,12,0.0
2,5,2,1,0.0
2,5,2,2,0.0
2,5,2,3,0.0
2,5,2,4,0.0
2,5,2,5,0.0
2,5,2,6,0.0
2,5,2,7,0.0
2,5,2,8,0.0
2,5,2,9,0.0
2,5,2,10,0.0
2,5,2,11,0.0
2,5,2,12,0.0
2,5,3,1,0.0
2,5,3,2,0.0
2,5,3,3,0.0
2,5,3,4,0.0
2,5,3,5,0.0
2,5,3,6,0.0
2,5,3,7,0.0
2,5,3,8,0.0
2,5,3,9,0.0
2,5,3,10,0.0
2,5,3,11,0.0
2,5,3,12,0.0
2,5,4,1,0.0
2,5,4,2,0.0
2,5,4,3,0.0
2,5,4,4,0.0
2,5,4,5,0.0
2,5,4,6,0.0
2,5,4,7,0.0
2,5,4,8,0.0
2,5,4,9,0.0
2,5,4,10,0.0
2,5,4,11,0.0
2,5,4,12,0.0
3,1,1,1,0.0
3,1,1,2,0.0
3,1,1,3,0.0
3,1,1,4,0.0
3,1,1,5,0.0
3,1,1,6,0.0
3,1,1,7,0.0
3,1,1,8,0.0
3,1,1,9,0.0
3,1,1,10,0.0
3,1,1,11,0.0
3,1,1,12,0.0
3,1,2,1,0.0
3,1,2,2,0.0
3,1,2,3,0.0
3,1,2,4,0.0
3,1,2,5,0.0
3,1,2,6,0.0
3,1,2,7,0.0
3,1,2,8,0.0
3,1,2,9,0.0
3,1,2,10,0.0
3,1,2,11,0.0
3,1,2,12,0.0
3,1,3,1,0.0
3,1,3,2,0.0
3,1,3,3,0.0
3,1,3,4,0.0
3,1,3,5,0.0
3,1,3,6,0.0
3,1,3,7,0.0
3,1,3,8,0.0
3,1,3,9,0.0
3,1,3,10,0.0
3,1,3,11,0.0
3,1,3,12,0.0
3,1,4,1,0.0
3,1,4,2,0.0
3,1,4,3,0.0
3,1,4,4,0.0
3,1,4,5,0.0
3,1,4,6,0.0
3,1,4,7,0.0
3,1,4,8,0.0
3,1,4,9,0.0
3,1,4,10,0.0
3,1,4,11,0.0
3,1,4,12,0.0
3,2,1,1,0.0
3,2,1,2,0.0
3,2,1,3,0.0
3,2,1,4,0.0
3,2,1,5,0.0
3,2,1,6,0.0
3,2,1,7,0.0
3,2,1,8,0.0
3,2,1,9,0.0
3,2,1,10,0.0
3,2,1,11,0.0
3,2,1,12,0.0
3,2,2,1,0.0
3,2,2,2,0.0
3,2,2,3,0.0
3,2,2,4,0.0
3,2,2,5,0.0
3,2,2,6,0.0
3,2,2,7,0.0
3,2,2,8,0.0
3,2,2,9,0.0
3,2,2,10,0.0
3,2,2,11,0.0
3,2,2,12,0.0
3,2,3,1,0.0
3,2,3,2,0.0
3,2,3,3,0.0
3,2,3,4,0.0
3,2,3,5,0.0
3,2,3,6,0.0
3,2,3,7,0.0
3,2,3,8,0.0
3,2,3,9,0.0
3,2,3,10,0.0
3,2,3,11,0.0
3,2,3,12,0.0
3,2,4,1,0.0
3,2,4,2,0.0
3,2,4,3,0.0
3,2,4,4,0.0
3,2,4,5,0.0
3,2,4,6,0.0
3,2,4,7,0.0
3,2,4,8,0.0
3,2,4,9,0.0
3,2,4,10,0.0
3,2,4,11,0.0
3,2,4,12,0.0
3,3,1,1,0.0
3,3,1,2,0.0
3,3,1,3,0.0
3,3,1,4,0.0
3,3,1,5,0.0
3,3,1,6,0.0
3,3,1,7,0.0
3,3,1,8,0.0
3,3,1,9,0.0
3,3,1,10,0.0
3,3,1,11,0.0
3,3,1,12,0.0
3,3,2,1,0.0
3,3,2,2,0.0
3,3,2,3,0.0
3,3,2,4,0.0
3,3,2,5,0.0
3,3,2,6,0.0
3,3,2,7,0.0
3,3,2,8,0.0
3,3,2,9,0.0
3,3,2,10,0.0
3,3,2,11,0.0
3,3,2,12,0.0
3,3,3,1,0.0
3,3,3,2,0.0
3,3,3,3,0.0
3,3,3,4,0.0
3,3,3,5,0.0
3,3,3,6,0.0
3,3,3,7,0.0
3,3,3,8,0.0
3,3,3,9,0.0
3,3,3,10,0.0
3,3,3,11,0.0
3,3,3,12,0.0
3,3,4,1,0.0
3,3,4,2,0.0
3,3,4,3,0.0
3,3,4,4,0.0
3,3,4,5,0.0
3,3,4,6,0.0
3,3,4,7,0.0
3,3,4,8,0.0
3,3,4,9,0.0
3,3,4,10,0.0
3,3,4,11,0.0
3,3,4,12,0.0
3,4,1,1,0.0
3,4,1,2,0.0
3,4,1,3,0.0
3,4,1,4,0.0
3,4,1,5,0.0
3,4,1,6,0.0
3,4,1,7,0.0
3,4,1,8,0.0
3,4,1,9,0.0
3,4,1,10,0.0
3,4,1,11,0.0
3,4,1,12,0.0
3,4,2,1,0.0
3,4,2,2,0.0
3,4,2,3,0.0
3,4,2,4,0.0
3,4,2,5,0.0
3,4,2,6,0.0
3,4,2,7,0.0
3,4,2,8,0.0
3,4,2,9,0.0
3,4,2,10,0.0
3,4,2,11,0.0
3,4,2,12,0.0
3,4,3,1,0.0
3,4,3,2,0.0
3,4,3,3,0.0
3,4,3,4,0.0
3,4,3,5,0.0
3,4,3,6,0.0
3,4,3,7,0.0
3,4,3,8,0.0
3,4,3,9,0.0
3,4,3,10,0.0
3,4,3,11,0.0
3,4,3,12,0.0
3,4,4,1,0.0
3,4,4,2,0.0
3,4,4,3,0.0
3,4,4,4,0.0
3,4,4,5,0.0
3,4,4,6,0.0
3,4,4,7,0.0
3,4,4,8,0.0
3,4,4,9,0.0
3,4,4,10,0.0
3,4,4,11,0.0
3,4,4,12,0.0
3,5,1,1,0.0
3,5,1,2,0.0
3,5,1,3,0.0
3,5,1,4,0.0
3,5,1,5,0.0
3,5,1,6,0.0
3,5,1,7,0.0
3,5,1,8,0.0
3,5,1,9,0.0
3,5,1,10,0.0
3,5,1,11,0.0
3,5,1,12,0.0
3,5,2,1,0.0
3,5,2,2,0.0
3,5,2,3,0.0
3,5,2,4,0.0
3,5,2,5,0.0
3,5,2,6,0.0
3,5,2,7,0.0
3,5,2,8,0.0
3,5,2,9,0.0
3,5,2,10,0.0
3,5,2,11,0.0
3,5,2,12,0.0
3,5,3,1,0.0
3,5,3,2,0.0
3,5,3,3,0.0
3,5,3,4,0.0
3,5,3,5,0.0
3,5,3,6,0.0
3,5,3,7,0.0
3,5,3,8,0.0
3,5,3,9,0.0
3,5,3,10,0.0
3,5,3,11,0.0
3,5,3,12,0.0
3,5,4,1,0.0
3,5,4,2,0.0
3,5,4,3,0.0
3,5,4,4,0.0
3,5,4,5,0.0
3,5,4,6,0.0
3,5,4,7,0.0
3,5,4,8,0.0
3,5,4,9,0.0
3,5,4,10,0.0
3,5,4,11,0.0
3,5,4,12,0.0
4,1,1,1,742.8
4,1,1,2,737.4
4,1,1,3,818.9
4,1,1,4,842.0
4,1,1,5,734.0
4,1,1,6,656.1
4,1,1,7,657.8
4,1,1,8,777.0
4,1,1,9,953.0
4,1,1,10,1022.7
4,1,1,11,912.6
4,1,1,12,801.3
4,1,2,1,869.0
4,1,2,2,847.7
4,1,2,3,898.7
4,1,2,4,950.7
4,1,2,5,903.0
4,1,2,6,916.2
4,1,2,7,988.1
4,1,2,8,1109.7
4,1,2,9,1216.8
4,1,2,10,1220.4
4,1,2,11,1094.3
4,1,2,12,951.2
4,1,3,1,807.8
4,1,3,2,787.1
4,1,3,3,865.2
4,1,3,4,928.7
4,1,3,5,860.3
4,1,3,6,824.3
4,1,3,7,896.4
4,1,3,8,1047.6
4,1,3,9,1163.3
4,1,3,10,1112.7
4,1,3,11,989.4
4,1,3,12,870.2
4,1,4,1,806.7
4,1,4,2,775.8
4,1,4,3,826.7
4,1,4,4,923.9
4,1,4,5,836.6
4,1,4,6,758.6
4,1,4,7,776.6
4,1,4,8,900.8
4,1,4,9,1096.1
4,1,4,10,1087.2
4,1,4,11,999.0
4,1,4,12,867.9
4,2,1,1,787.4
4,2,1,2,781.5
4,2,1,3,867.9
4,2,1,4,892.7
4,2,1,5,777.9
4,2,1,6,695.3
4,2,1,7,697.4
4,2,1,8,823.5
4,2,1,9,1010.1
4,2,1,10,1084.1
4,2,1,11,967.4
4,2,1,12,849.5
4,2,2,1,921.0
4,2,2,2,898.5
4,2,2,3,952.5
4,2,2,4,1007.9
4,2,2,5,957.2
4,2,2,6,971.1
4,2,2,7,1047.2
4,2,2,8,1176.3
4,2,2,9,1289.7
4,2,2,10,1293.6
4,2,2,11,1160.0
4,2,2,12,1008.0
4,2,3,1,856.2
4,2,3,2,834.3
4,2,3,3,917.1
4,2,3,4,984.2
4,2,3,5,911.7
4,2,3,6,873.5
4,2,3,7,950.3
4,2,3,8,1110.6
4,2,3,9,1233.0
4,2,3,10,1179.3
4,2,3,11,1048.5
4,2,3,12,922.1
4,2,4,1,855.0
4,2,4,2,822.5
4,2,4,3,876.2
4,2,4,4,979.5
4,2,4,5,886.8
4,2,4,6,804.0
4,2,4,7,823.1
4,2,4,8,954.8
4,2,4,9,1161.8
4,2,4,10,1152.3
4,2,4,11,1058.9
4,2,4,12,920.1
4,3,1,1,833.9
4,3,1,2,827.9
4,3,1,3,919.4
4,3,1,4,945.5
4,3,1,5,824.0
4,3,1,6,736.5
4,3,1,7,738.5
4,3,1,8,872.4
4,3,1,9,1070.0
4,3,1,10,1148.3
4,3,1,11,1024.5
4,3,1,12,899.6
4,3,2,1,975.6
4,3,2,2,951.6
4,3,2,3,1008.9
4,3,2,4,1067.4
4,3,2,5,1013.9
4,3,2,6,1028.6
4,3,2,7,1109.3
4,3,2,8,1245.9
4,3,2,9,1366.1
4,3,2,10,1370.3
4,3,2,11,1228.5
4,3,2,12,1067.7
4,3,3,1,907.1
4,3,3,2,883.7
4,3,3,3,971.4
4,3,3,4,1042.5
4,3,3,5,965.7
4,3,3,6,925.2
4,3,3,7,1006.5
4,3,3,8,1176.3
4,3,3,9,1305.9
4,3,3,10,1249.1
4,3,3,11,1110.6
4,3,3,12,976.8
4,3,4,1,905.7
4,3,4,2,871.1
4,3,4,3,928.2
4,3,4,4,1037.3
4,3,4,5,939.5
4,3,4,6,851.4
4,3,4,7,871.7
4,3,4,8,1011.2
4,3,4,9,1230.3
4,3,4,10,1220.4
4,3,4,11,1121.7
4,3,4,12,974.6
4,4,1,1,882.8
4,4,1,2,876.2
4,4,1,3,973.2
4,4,1,4,1000.8
4,4,1,5,872.1
4,4,1,6,779.7
4,4,1,7,781.7
4,4,1,8,923.4
4,4,1,9,1132.5
4,4,1,10,1215.5
4,4,1,11,1084.5
4,4,1,12,952.2
4,4,2,1,1032.6
4,4,2,2,1007.4
4,4,2,3,1067.9
4,4,2,4,1129.8
4,4,2,5,1073.3
4,4,2,6,1088.9
4,4,2,7,1174.1
4,4,2,8,1318.8
4,4,2,9,1446.2
4,4,2,10,1450.4
4,4,2,11,1300.4
4,4,2,12,1130.3
4,4,3,1,959.9
4,4,3,2,935.4
4,4,3,3,1028.3
4,4,3,4,1103.4
4,4,3,5,1022.4
4,4,3,6,979.5
4,4,3,7,1065.5
4,4,3,8,1245.2
4,4,3,9,1382.4
4,4,3,10,1322.1
4,4,3,11,1175.7
4,4,3,12,1034.0
4,4,4,1,958.5
4,4,4,2,922.1
4,4,4,3,982.4
4,4,4,4,1098.0
4,4,4,5,994.4
4,4,4,6,901.4
4,4,4,7,922.8
4,4,4,8,1070.4
4,4,4,9,1302.3
4,4,4,10,1292.0
4,4,4,11,1187.1
4,4,4,12,1031.4
4,5,1,1,933.8
4,5,1,2,926.9
4,5,1,3,1029.5
4,5,1,4,1058.7
4,5,1,5,922.5
4,5,1,6,824.7
4,5,1,7,827.0
4,5,1,8,976.8
4,5,1,9,1197.9
4,5,1,10,1285.7
4,5,1,11,1147.1
4,5,1,12,1007.4
4,5,2,1,1092.5
4,5,2,2,1065.6
4,5,2,3,1129.8
4,5,2,4,1195.2
4,5,2,5,1135.4
4,5,2,6,1151.9
4,5,2,7,1242.0
4,5,2,8,1395.0
4,5,2,9,1529.6
4,5,2,10,1534.4
4,5,2,11,1375.7
4,5,2,12,1195.7
4,5,3,1,1015.5
4,5,3,2,989.6
4,5,3,3,1087.7
4,5,3,4,1167.3
4,5,3,5,1081.4
4,5,3,6,1036.2
4,5,3,7,1127.1
4,5,3,8,1317.2
4,5,3,9,1462.4
4,5,3,10,1398.6
4,5,3,11,1243.7
4,5,3,12,1093.8
4,5,4,1,1014.2
4,5,4,2,975.5
4,5,4,3,1039.4
4,5,4,4,1161.5
4,5,4,5,1052.0
4,5,4,6,953.4
4,5,4,7,976.1
4,5,4,8,1132.5
4,5,4,9,1377.8
4,5,4,10,1366.7
4,5,4,11,1256.0
4,5,4,12,1091.1
