i,t,n,b,CPF
1,4,1,5,0.104
1,4,1,6,0.152
1,4,1,7,0.201
1,4,1,8,0.2
1,4,1,9,0.167
1,4,1,10,0.126
1,4,1,11,0.121
1,4,1,12,0.128
1,4,2,1,0.012
1,4,2,2,0.011
1,4,2,3,0.009
1,4,2,4,0.013
1,4,2,5,0.033
1,4,2,6,0.079
1,4,2,7,0.104
1,4,2,8,0.095
1,4,2,9,0.062
1,4,2,10,0.025
1,4,2,11,0.016
1,4,2,12,0.014
1,4,3,1,0.078
1,4,3,2,0.082
1,4,3,3,0.087
1,4,3,4,0.093
1,4,3,5,0.09
1,4,3,6,0.114
1,4,3,7,0.148
1,4,3,8,0.144
1,4,3,9,0.114
1,4,3,10,0.086
1,4,3,11,0.08
1,4,3,12,0.079
1,4,4,1,0.217
1,4,4,2,0.216
1,4,4,3,0.206
1,4,4,4,0.187
1,4,4,5,0.192
1,4,4,6,0.202
1,4,4,7,0.214
1,4,4,8,0.203
1,4,4,9,0.205
1,4,4,10,0.205
1,4,4,11,0.21
1,4,4,12,0.219
1,5,1,1,0.127
1,5,1,2,0.115
1,5,1,3,0.098
1,5,1,4,0.092
1,5,1,5,0.104
1,5,1,6,0.152
1,5,1,7,0.201
1,5,1,8,0.2
1,5,1,9,0.167
1,5,1,10,0.126
1,5,1,11,0.121
1,5,1,12,0.128
1,5,2,1,0.012
1,5,2,2,0.011
1,5,2,3,0.009
1,5,2,4,0.013
1,5,2,5,0.033
1,5,2,6,0.079
1,5,2,7,0.104
1,5,2,8,0.095
1,5,2,9,0.062
1,5,2,10,0.025
1,5,2,11,0.016
1,5,2,12,0.014
1,5,3,1,0.078
1,5,3,2,0.082
1,5,3,3,0.087
1,5,3,4,0.093
1,5,3,5,0.09
1,5,3,6,0.114
1,5,3,7,0.148
1,5,3,8,0.144
1,5,3,9,0.114
1,5,3,10,0.086
1,5,3,11,0.08
1,5,3,12,0.079
1,5,4,1,0.217
1,5,4,2,0.216
1,5,4,3,0.206
1,5,4,4,0.187
1,5,4,5,0.192
1,5,4,6,0.202
1,5,4,7,0.214
1,5,4,8,0.203
1,5,4,9,0.205
1,5,4,10,0.205
1,5,4,11,0.21
1,5,4,12,0.219
2,1,1,1,0.31
2,1,1,2,0.285
2,1,1,3,0.225
2,1,1,4,0.224
2,1,1,5,0.216
2,1,1,6,0.247
2,1,1,7,0.31
2,1,1,8,0.37
2,1,1,9,0.388
2,1,1,10,0.365
2,1,1,11,0.339
2,1,1,12,0.322
2,1,2,1,0.297
2,1,2,2,0.252
2,1,2,3,0.118
2,1,2,4,0.075
2,1,2,5,0.078
2,1,2,6,0.109
2,1,2,7,0.167
2,1,2,8,0.248
2,1,2,9,0.325
2,1,2,10,0.323
2,1,2,11,0.311
2,1,2,12,0.323
2,1,3,1,0.178
2,1,3,2,0.177
2,1,3,3,0.152
2,1,3,4,0.147
2,1,3,5,0.16
2,1,3,6,0.164
2,1,3,7,0.189
2,1,3,8,0.187
2,1,3,9,0.18
2,1,3,10,0.179
2,1,3,11,0.18
2,1,3,12,0.183
2,1,4,1,0.14
2,1,4,2,0.137
2,1,4,3,0.127
2,1,4,4,0.118
2,1,4,5,0.204
2,1,4,6,0.223
2,1,4,7,0.222
2,1,4,8,0.166
2,1,4,9,0.148
2,1,4,10,0.148
2,1,4,11,0.144
2,1,4,12,0.146
2,2,1,1,0.31
2,2,1,2,0.285
2,2,1,3,0.225
2,2,1,4,0.224
2,2,1,5,0.216
2,2,1,6,0.247
2,2,1,7,0.31
2,2,1,8,0.37
2,2,1,9,0.388
2,2,1,10,0.365
2,2,1,11,0.339
2,2,1,12,0.322
2,2,2,1,0.297
2,2,2,2,0.252
2,2,2,3,0.118
2,2,2,4,0.075
2,2,2,5,0.078
2,2,2,6,0.109
2,2,2,7,0.167
2,2,2,8,0.248
2,2,2,9,0.325
2,2,2,10,0.323
2,2,2,11,0.311
2,2,2,12,0.323
2,2,3,1,0.178
2,2,3,2,0.177
2,2,3,3,0.152
2,2,3,4,0.147
2,2,3,5,0.16
2,2,3,6,0.164
2,2,3,7,0.189
2,2,3,8,0.187
2,2,3,9,0.18
2,2,3,10,0.179
2,2,3,11,0.18
2,2,3,12,0.183
2,2,4,1,0.14
2,2,4,2,0.137
2,2,4,3,0.127
2,2,4,4,0.118
2,2,4,5,0.204
2,2,4,6,0.223
2,2,4,7,0.222
2,2,4,8,0.166
2,2,4,9,0.148
2,2,4,10,0.148
2,2,4,11,0.144
2,2,4,12,0.146
2,3,1,1,0.31
2,3,1,2,0.285
2,3,1,3,0.225
2,3,1,4,0.224
2,3,1,5,0.216
2,3,1,6,0.247
2,3,1,7,0.31
2,3,1,8,0.37
2,3,1,9,0.388
2,3,1,10,0.365
2,3,1,11,0.339
2,3,1,12,0.322
2,3,2,1,0.297
2,3,2,2,0.252
2,3,2,3,0.118
2,3,2,4,0.075
2,3,2,5,0.078
2,3,2,6,0.109
2,3,2,7,0.167
2,3,2,8,0.248
2,3,2,9,0.325
2,3,2,10,0.323
2,3,2,11,0.311
2,3,2,12,0.323
2,3,3,1,0.178
2,3,3,2,0.177
2,3,3,3,0.152
2,3,3,4,0.147
2,3,3,5,0.16
2,3,3,6,0.164
2,3,3,7,0.189
2,3,3,8,0.187
2,3,3,9,0.18
2,3,3,10,0.179
2,3,3,11,0.18
2,3,3,12,0.183
2,3,4,1,0.14
2,3,4,2,0.137
2,3,4,3,0.127
2,3,4,4,0.118
2,3,4,5,0.204
2,3,4,6,0.223
2,3,4,7,0.222
2,3,4,8,0.166
2,3,4,9,0.148
2,3,4,10,0.148
2,3,4,11,0.144
2,3,4,12,0.146
2,4,1,1,0.31
2,4,1,2,0.285
2,4,1,3,0.225
2,4,1,4,0.224
2,4,1,5,0.216
2,4,1,6,0.247
2,4,1,7,0.31
2,4,1,8,0.37
2,4,1,9,0.388
2,4,1,10,0.365
2,4,1,11,0.339
2,4,1,12,0.322
2,4,2,1,0.297
2,4,2,2,0.252
2,4,2,3,0.118
2,4,2,4,0.075
2,4,2,5,0.078
2,4,2,6,0.109
2,4,2,7,0.167
2,4,2,8,0.248
2,4,2,9,0.325
2,4,2,10,0.323
2,4,2,11,0.311
2,4,2,12,0.323
2,4,3,1,0.178
2,4,3,2,0.177
2,4,3,3,0.152
2,4,3,4,0.147
2,4,3,5,0.16
2,4,3,6,0.164
2,4,3,7,0.189
2,4,3,8,0.187
2,4,3,9,0.18
2,4,3,10,0.179
2,4,3,11,0.18
2,4,3,12,0.183
2,4,4,1,0.14
2,4,4,2,0.137
2,4,4,3,0.127
2,4,4,4,0.118
2,4,4,5,0.204
2,4,4,6,0.223
2,4,4,7,0.222
2,4,4,8,0.166
2,4,4,9,0.148
2,4,4,10,0.148
2,4,4,11,0.144
2,4,4,12,0.146
2,5,1,1,0.31
2,5,1,2,0.285
2,5,1,3,0.225
2,5,1,4,0.224
2,5,1,5,0.216
2,5,1,6,0.247
2,5,1,7,0.31
2,5,1,8,0.37
2,5,1,9,0.388
2,5,1,10,0.365
2,5,1,11,0.339
2,5,1,12,0.322
2,5,2,1,0.297
2,5,2,2,0.252
2,5,2,3,0.118
2,5,2,4,0.075
2,5,2,5,0.078
2,5,2,6,0.109
2,5,2,7,0.167
2,5,2,8,0.248
2,5,2,9,0.325
2,5,2,10,0.323
2,5,2,11,0.311
2,5,2,12,0.323
2,5,3,1,0.178
2,5,3,2,0.177
2,5,3,3,0.152
2,5,3,4,0.147
2,5,3,5,0.16
2,5,3,6,0.164
2,5,3,7,0.189
2,5,3,8,0.187
2,5,3,9,0.18
2,5,3,10,0.179
2,5,3,11,0.18
2,5,3,12,0.183
2,5,4,1,0.14
2,5,4,2,0.137
2,5,4,3,0.127
2,5,4,4,0.118
2,5,4,5,0.204
2,5,4,6,0.223
2,5,4,7,0.222
2,5,4,8,0.166
2,5,4,9,0.148
2,5,4,10,0.148
2,5,4,11,0.144
2,5,4,12,0.146
3,1,1,1,0.395
3,1,1,2,0.37
3,1,1,3,0.304
3,1,1,4,0.288
3,1,1,5,0.273
3,1,1,6,0.293
3,1,1,7,0.352
3,1,1,8,0.421
3,1,1,9,0.459
3,1,1,10,0.425
3,1,1,11,0.411
3,1,1,12,0.408
3,1,2,1,0.4
3,1,2,2,0.372
3,1,2,3,0.211
3,1,2,4,0.13
3,1,2,5,0.101
3,1,2,6,0.123
3,1,2,7,0.18
3,1,2,8,0.261
3,1,2,9,0.382
3,1,2,10,0.352
3,1,2,11,0.37
3,1,2,12,0.404
3,1,3,1,0.227
3,1,3,2,0.231
3,1,3,3,0.21
3,1,3,4,0.197
3,1,3,5,0.201
3,1,3,6,0.204
3,1,3,7,0.227
3,1,3,8,0.232
3,1,3,9,0.241
3,1,3,10,0.229
3,1,3,11,0.226
3,1,3,12,0.232
3,1,4,1,0.201
3,1,4,2,0.203
3,1,4,3,0.196
3,1,4,4,0.183
3,1,4,5,0.261
3,1,4,6,0.283
3,1,4,7,0.278
3,1,4,8,0.219
3,1,4,9,0.208
3,1,4,10,0.213
3,1,4,11,0.21
3,1,4,12,0.206
3,2,1,1,0.395
3,2,1,2,0.37
3,2,1,3,0.304
3,2,1,4,0.288
3,2,1,5,0.273
3,2,1,6,0.293
3,2,1,7,0.352
3,2,1,8,0.421
3,2,1,9,0.459
3,2,1,10,0.425
3,2,1,11,0.411
3,2,1,12,0.408
3,2,2,1,0.4
3,2,2,2,0.372
3,2,2,3,0.211
3,2,2,4,0.13
3,2,2,5,0.101
3,2,2,6,0.123
3,2,2,7,0.18
3,2,2,8,0.261
3,2,2,9,0.382
3,2,2,10,0.352
3,2,2,11,0.37
3,2,2,12,0.404
3,2,3,1,0.227
3,2,3,2,0.231
3,2,3,3,0.21
3,2,3,4,0.197
3,2,3,5,0.201
3,2,3,6,0.204
3,2,3,7,0.227
3,2,3,8,0.232
3,2,3,9,0.241
3,2,3,10,0.229
3,2,3,11,0.226
3,2,3,12,0.232
3,2,4,1,0.201
3,2,4,2,0.203
3,2,4,3,0.196
3,2,4,4,0.183
3,2,4,5,0.261
3,2,4,6,0.283
3,2,4,7,0.278
3,2,4,8,0.219
3,2,4,9,0.208
3,2,4,10,0.213
3,2,4,11,0.21
3,2,4,12,0.206
3,3,1,1,0.395
3,3,1,2,0.37
3,3,1,3,0.304
3,3,1,4,0.288
3,3,1,5,0.273
3,3,1,6,0.293
3,3,1,7,0.352
3,3,1,8,0.421
3,3,1,9,0.459
3,3,1,10,0.425
3,3,1,11,0.411
3,3,1,12,0.408
3,3,2,1,0.4
3,3,2,2,0.372
3,3,2,3,0.211
3,3,2,4,0.13
3,3,2,5,0.101
3,3,2,6,0.123
3,3,2,7,0.18
3,3,2,8,0.261
3,3,2,9,0.382
3,3,2,10,0.352
3,3,2,11,0.37
3,3,2,12,0.404
3,3,3,1,0.227
3,3,3,2,0.231
3,3,3,3,0.21
3,3,3,4,0.197
3,3,3,5,0.201
3,3,3,6,0.204
3,3,3,7,0.227
3,3,3,8,0.232
3,3,3,9,0.241
3,3,3,10,0.229
3,3,3,11,0.226
3,3,3,12,0.232
3,3,4,1,0.201
3,3,4,2,0.203
3,3,4,3,0.196
3,3,4,4,0.183
3,3,4,5,0.261
3,3,4,6,0.283
3,3,4,7,0.278
3,3,4,8,0.219
3,3,4,9,0.208
3,3,4,10,0.213
3,3,4,11,0.21
3,3,4,12,0.206
3,4,1,1,0.395
3,4,1,2,0.37
3,4,1,3,0.304
3,4,1,4,0.288
3,4,1,5,0.273
3,4,1,6,0.293
3,4,1,7,0.352
3,4,1,8,0.421
3,4,1,9,0.459
3,4,1,10,0.425
3,4,1,11,0.411
3,4,1,12,0.408
3,4,2,1,0.4
3,4,2,2,0.372
3,4,2,3,0.211
3,4,2,4,0.13
3,4,2,5,0.101
3,4,2,6,0.123
3,4,2,7,0.18
3,4,2,8,0.261
3,4,2,9,0.382
3,4,2,10,0.352
3,4,2,11,0.37
3,4,2,12,0.404
3,4,3,1,0.227
3,4,3,2,0.231
3,4,3,3,0.21
3,4,3,4,0.197
3,4,3,5,0.201
3,4,3,6,0.204
3,4,3,7,0.227
3,4,3,8,0.232
3,4,3,9,0.241
3,4,3,10,0.229
3,4,3,11,0.226
3,4,3,12,0.232
3,4,4,1,0.201
3,4,4,2,0.203
3,4,4,3,0.196
3,4,4,4,0.183
3,4,4,5,0.261
3,4,4,6,0.283
3,4,4,7,0.278
3,4,4,8,0.219
3,4,4,9,0.208
3,4,4,10,0.213
3,4,4,11,0.21
3,4,4,12,0.206
3,5,1,1,0.395
3,5,1,2,0.37
3,5,1,3,0.304
3,5,1,4,0.288
3,5,1,5,0.273
3,5,1,6,0.293
3,5,1,7,0.352
3,5,1,8,0.421
3,5,1,9,0.459
3,5,1,10,0.425
3,5,1,11,0.411
3,5,1,12,0.408
3,5,2,1,0.4
3,5,2,2,0.372
3,5,2,3,0.211
3,5,2,4,0.13
3,5,2,5,0.101
3,5,2,6,0.123
3,5,2,7,0.18
3,5,2,8,0.261
3,5,2,9,0.382
3,5,2,10,0.352
3,5,2,11,0.37
3,5,2,12,0.404
3,5,3,1,0.227
3,5,3,2,0.231
3,5,3,3,0.21
3,5,3,4,0.197
3,5,3,5,0.201
3,5,3,6,0.204
3,5,3,7,0.227
3,5,3,8,0.232
3,5,3,9,0.241
3,5,3,10,0.229
3,5,3,11,0.226
3,5,3,12,0.232
3,5,4,1,0.201
3,5,4,2,0.203
3,5,4,3,0.196
3,5,4,4,0.183
3,5,4,5,0.261
3,5,4,6,0.283
3,5,4,7,0.278
3,5,4,8,0.219
3,5,4,9,0.208
3,5,4,10,0.213
3,5,4,11,0.21
3,5,4,12,0.206
4,1,1,1,0.126
4,1,1,2,0.114
4,1,1,3,0.112
4,1,1,4,0.129
4,1,1,5,0.149
4,1,1,6,0.186
4,1,1,7,0.232
4,1,1,8,0.229
4,1,1,9,0.172
4,1,1,10,0.129
4,1,1,11,0.13
4,1,1,12,0.132
4,1,2,1,0.018
4,1,2,2,0.019
4,1,2,3,0.018
4,1,2,4,0.03
4,1,2,5,0.052
4,1,2,6,0.092
4,1,2,7,0.115
4,1,2,8,0.103
4,1,2,9,0.067
4,1,2,10,0.02
4,1,2,11,0.02
4,1,2,12,0.021
4,1,3,1,0.103
4,1,3,2,0.116
4,1,3,3,0.137
4,1,3,4,0.152
4,1,3,5,0.159
4,1,3,6,0.155
4,1,3,7,0.167
4,1,3,8,0.145
4,1,3,9,0.12
4,1,3,10,0.1
4,1,3,11,0.102
4,1,3,12,0.108
4,1,4,1,0.239
4,1,4,2,0.24
4,1,4,3,0.241
4,1,4,4,0.216
4,1,4,5,0.243
4,1,4,6,0.253
4,1,4,7,0.243
4,1,4,8,0.189
4,1,4,9,0.195
4,1,4,10,0.217
4,1,4,11,0.23
4,1,4,12,0.237
4,2,1,1,0.126
4,2,1,2,0.114
4,2,1,3,0.112
4,2,1,4,0.129
4,2,1,5,0.149
4,2,1,6,0.186
4,2,1,7,0.232
4,2,1,8,0.229
4,2,1,9,0.172
4,2,1,10,0.129
4,2,1,11,0.13
4,2,1,12,0.132
4,2,2,1,0.018
4,2,2,2,0.019
4,2,2,3,0.018
4,2,2,4,0.03
4,2,2,5,0.052
4,2,2,6,0.092
4,2,2,7,0.115
4,2,2,8,0.103
4,2,2,9,0.067
4,2,2,10,0.02
4,2,2,11,0.02
4,2,2,12,0.021
4,2,3,1,0.103
4,2,3,2,0.116
4,2,3,3,0.137
4,2,3,4,0.152
4,2,3,5,0.159
4,2,3,6,0.155
4,2,3,7,0.167
4,2,3,8,0.145
4,2,3,9,0.12
4,2,3,10,0.1
4,2,3,11,0.102
4,2,3,12,0.108
4,2,4,1,0.239
4,2,4,2,0.24
4,2,4,3,0.241
4,2,4,4,0.216
4,2,4,5,0.243
4,2,4,6,0.253
4,2,4,7,0.243
4,2,4,8,0.189
4,2,4,9,0.195
4,2,4,10,0.217
4,2,4,11,0.23
4,2,4,12,0.237
4,3,1,1,0.126
4,3,1,2,0.114
4,3,1,3,0.112
4,3,1,4,0.129
4,3,1,5,0.149
4,3,1,6,0.186
4,3,1,7,0.232
4,3,1,8,0.229
4,3,1,9,0.172
4,3,1,10,0.129
4,3,1,11,0.13
4,3,1,12,0.132
4,3,2,1,0.018
4,3,2,2,0.019
4,3,2,3,0.018
4,3,2,4,0.03
4,3,2,5,0.052
4,3,2,6,0.092
4,3,2,7,0.115
4,3,2,8,0.103
4,3,2,9,0.067
4,3,2,10,0.02
4,3,2,11,0.02
4,3,2,12,0.021
4,3,3,1,0.103
4,3,3,2,0.116
4,3,3,3,0.137
4,3,3,4,0.152
4,3,3,5,0.159
4,3,3,6,0.155
4,3,3,7,0.167
4,3,3,8,0.145
4,3,3,9,0.12
4,3,3,10,0.1
4,3,3,11,0.102
4,3,3,12,0.108
4,3,4,1,0.239
4,3,4,2,0.24
4,3,4,3,0.241
4,3,4,4,0.216
4,3,4,5,0.243
4,3,4,6,0.253
4,3,4,7,0.243
4,3,4,8,0.189
4,3,4,9,0.195
4,3,4,10,0.217
4,3,4,11,0.23
4,3,4,12,0.237
4,4,1,1,0.126
4,4,1,2,0.114
4,4,1,3,0.112
4,4,1,4,0.129
4,4,1,5,0.149
4,4,1,6,0.186
4,4,1,7,0.232
4,4,1,8,0.229
4,4,1,9,0.172
4,4,1,10,0.129
4,4,1,11,0.13
4,4,1,12,0.132
4,4,2,1,0.018
4,4,2,2,0.019
4,4,2,3,0.018
4,4,2,4,0.03
4,4,2,5,0.052
4,4,2,6,0.092
4,4,2,7,0.115
4,4,2,8,0.103
4,4,2,9,0.067
4,4,2,10,0.02
4,4,2,11,0.02
4,4,2,12,0.021
4,4,3,1,0.103
4,4,3,2,0.116
4,4,3,3,0.137
4,4,3,4,0.152
4,4,3,5,0.159
4,4,3,6,0.155
4,4,3,7,0.167
4,4,3,8,0.145
4,4,3,9,0.12
4,4,3,10,0.1
4,4,3,11,0.102
4,4,3,12,0.108
4,4,4,1,0.239
4,4,4,2,0.24
4,4,4,3,0.241
4,4,4,4,0.216
4,4,4,5,0.243
4,4,4,6,0.253
4,4,4,7,0.243
4,4,4,8,0.189
4,4,4,9,0.195
4,4,4,10,0.217
4,4,4,11,0.23
4,4,4,12,0.237
4,5,1,1,0.126
4,5,1,2,0.114
4,5,1,3,0.112
4,5,1,4,0.129
4,5,1,5,0.149
4,5,1,6,0.186
4,5,1,7,0.232
4,5,1,8,0.229
4,5,1,9,0.172
4,5,1,10,0.129
4,5,1,11,0.13
4,5,1,12,0.132
4,5,2,1,0.018
4,5,2,2,0.019
4,5,2,3,0.018
4,5,2,4,0.03
4,5,2,5,0.052
4,5,2,6,0.092
4,5,2,7,0.115
4,5,2,8,0.103
4,5,2,9,0.067
4,5,2,10,0.02
4,5,2,11,0.02
4,5,2,12,0.021
4,5,3,1,0.103
4,5,3,2,0.116
4,5,3,3,0.137
4,5,3,4,0.152
4,5,3,5,0.159
4,5,3,6,0.155
4,5,3,7,0.167
4,5,3,8,0.145
4,5,3,9,0.12
4,5,3,10,0.1
4,5,3,11,0.102
4,5,3,12,0.108
4,5,4,1,0.239
4,5,4,2,0.24
4,5,4,3,0.241
4,5,4,4,0.216
4,5,4,5,0.243
4,5,4,6,0.253
4,5,4,7,0.243
4,5,4,8,0.189
4,5,4,9,0.195
4,5,4,10,0.217
4,5,4,11,0.23
4,5,4,12,0.237
