l,t,ic_line
83,2,0.02
84,1,0.025
84,2,0.02
85,1,0.025
85,2,0.02
86,1,0.025
86,2,0.02
87,1,0.025
87,2,0.02
88,1,0.025
88,2,0.02
89,1,0.025
89,2,0.02
90,1,0.025
90,2,0.02
91,1,0.025
91,2,0.02
92,1,0.025
92,2,0.02
93,1,0.025
93,2,0.02
94,1,0.025
94,2,0.02
95,1,0.025
95,2,0.02
96,1,0.025
96,2,0.02
97,1,0.025
97,2,0.02
98,1,0.025
98,2,0.02
99,1,0.025
99,2,0.02
100,1,0.025
100,2,0.02
101,1,0.025
101,2,0.02
102,1,0.025
102,2,0.02
103,1,0.025
103,2,0.02
104,1,0.025
104,2,0.02
105,1,0.025
105,2,0.02
106,1,0.025
106,2,0.02
107,1,0.025
107,2,0.02
108,1,0.025
108,2,0.02
109,1,0.025
109,2,0.02
110,1,0.025
110,2,0.02
111,1,0.025
111,2,0.02
112,1,0.025
112,2,0.02
113,1,0.025
113,2,0.02
114,1,0.025
114,2,0.02
115,1,0.025
115,2,0.02
116,1,0.025
116,2,0.02
117,1,0.025
117,2,0.02
118,1,0.025
118,2,0.02
119,1,0.025
119,2,0.02
120,1,0.025
120,2,0.02
121,1,0.025
121,2,0.02
122,1,0.025
122,2,0.02
123,1,0.025
123,2,0.02
124,1,0.025
124,2,0.02
125,1,0.025
125,2,0.02
126,1,0.025
126,2,0.02
127,1,0.025
127,2,0.02
128,1,0.025
128,2,0.02
129,1,0.025
129,2,0.02
130,1,0.025
130,2,0.02
131,1,0.025
131,2,0.02
132,1,0.025
132,2,0.02
133,1,0.025
133,2,0.02
134,1,0.025
134,2,0.02
135,1,0.025
135,2,0.02
136,1,0.025
136,2,0.02
137,1,0.025
137,2,0.02
138,1,0.025
138,2,0.02
139,1,0.025
139,2,0.02
140,1,0.025
140,2,0.02
141,1,0.025
141,2,0.02
142,1,0.025
142,2,0.02
143,1,0.025
143,2,0.02
144,1,0.025
144,2,0.02
145,1,0.025
145,2,0.02
146,1,0.025
146,2,0.02
147,1,0.025
147,2,0.02
148,1,0.025
148,2,0.02
149,1,0.025
149,2,0.02
150,1,0.025
150,2,0.02
151,1,0.025
151,2,0.02
152,1,0.025
152,2,0.02
153,1,0.025
153,2,0.02
154,1,0.025
154,2,0.02
155,1,0.025
155,2,0.02
156,1,0.025
156,2,0.02
157,1,0.025
157,2,0.02
158,1,0.025
158,2,0.02
159,1,0.025
159,2,0.02
160,1,0.025
160,2,0.02
161,1,0.025
161,2,0.02
162,1,0.025
162,2,0.02
163,1,0.025
163,2,0.02
164,1,0.025
164,2,0.02
165,1,0.025
165,2,0.02
166,1,0.025
166,2,0.02
167,1,0.025
167,2,0.02
168,1,0.025
168,2,0.02
169,1,0.025
169,2,0.02
170,1,0.025
170,2,0.02
171,1,0.025
171,2,0.02
172,1,0.025
172,2,0.02
173,1,0.025
173,2,0.02
174,1,0.025
174,2,0.02
175,1,0.025
175,2,0.02
176,1,0.025
176,2,0.02
177,1,0.025
177,2,0.02
178,1,0.025
178,2,0.02
179,1,0.025
179,2,0.02
180,1,0.025
180,2,0.02
181,1,0.025
181,2,0.02
182,1,0.025
182,2,0.02
183,1,0.025
183,2,0.02
184,1,0.025
184,2,0.02
185,1,0.025
185,2,0.02
186,1,0.025
186,2,0.02
187,1,0.025
187,2,0.02
188,1,0.025
188,2,0.02
